index,comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes,article_type,topic,article_title,input_text
160,AL20240920114300-225470,AL20240920114300,Jp,Fa 8 dies,,Juan Ramón crespo cap de govern,,1.0,0.0,article,habitatge,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,[ARTICLE TITLE] La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos Juan Ramón crespo cap de govern
161,AL20240920114300-225421,AL20240920114300,Escaldes,Fa 8 dies,,Farem un país de mantinguts. Llibera els contractes i es regularà sol. Les intervencions del govern provoca la situació que estem.,,5.0,3.0,article,habitatge,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,[ARTICLE TITLE] La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos Farem un país de mantinguts. Llibera els contractes i es regularà sol. Les intervencions del govern provoca la situació que estem.
162,AL20240920114300-225416,AL20240920114300,30000pisos,Fa 8 dies,,"Tenim en compte que hi han uns 30000 pisos de lloguer i que tenim suposadament 50 casos d’abus i la major part dels pisos estan a preu mes que asequible de que estem parlant? Facil de un 0,1% ja en hi ha prou! Per cert la major part dels pisos estan per sota dels 8 euros i govern es mes economic a preu assequible als 9 fins a 12 euros, DEMAGOGIA PURA.",,5.0,3.0,article,habitatge,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,"[ARTICLE TITLE] La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos Tenim en compte que hi han uns 30000 pisos de lloguer i que tenim suposadament 50 casos d’abus i la major part dels pisos estan a preu mes que asequible de que estem parlant? Facil de un 0,1% ja en hi ha prou! Per cert la major part dels pisos estan per sota dels 8 euros i govern es mes economic a preu assequible als 9 fins a 12 euros, DEMAGOGIA PURA."
163,AL20240920114300-225409,AL20240920114300,Article tendenciós,Fa 8 dies,,Si aixo es aixi NO hi ha un problema rellevant,,4.0,2.0,article,habitatge,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,[ARTICLE TITLE] La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos Si aixo es aixi NO hi ha un problema rellevant
164,AL20240920114300-225354,AL20240920114300,Magna,Fa 9 dies,,I després van amb el cap ben alt i criticant a altres…i van de patriotes…i tothom ha besar el terra que trpitgen com alguna de Sant Julià,,5.0,0.0,article,habitatge,La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos,[ARTICLE TITLE] La Coordinadora de l’Habitatge calcula que el 2023 hi va haver 950 casos reals de trampes i abusos I després van amb el cap ben alt i criticant a altres…i van de patriotes…i tothom ha besar el terra que trpitgen com alguna de Sant Julià
165,AL20240910152500-223822,AL20240910152500,Juan,Fa 17 dies,,"No sé ni per on començar: Endollar una persona que participa i encara està en concursos públics (malament), es reuniran cada dos mesos (amb calma , no fos cas que  haguessin de pensar ) , que vulguin intervenir més (millor seria suprimir tanta administració … quin estalvi més gran) i que diguin que volen eines més eficaces pels administrats (informàtica, potser que mirin com atenen a les persones, començant per Encamp on son entre maleducats i despòtics) … en fi !!! En despropòsit .",,7.0,0.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,"[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge No sé ni per on començar: Endollar una persona que participa i encara està en concursos públics (malament), es reuniran cada dos mesos (amb calma , no fos cas que  haguessin de pensar ) , que vulguin intervenir més (millor seria suprimir tanta administració … quin estalvi més gran) i que diguin que volen eines més eficaces pels administrats (informàtica, potser que mirin com atenen a les persones, començant per Encamp on son entre maleducats i despòtics) … en fi !!! En despropòsit ."
166,AL20240910152500-223787,AL20240910152500,Esclat9,Fa 18 dies,,"Que dios nos pille confesados como le den poder a los comus para solucionar algo, no son capaces ni de solucionar los desmadres que tienen alli dentro como para solucionar los que tiene el pais.",,8.0,0.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,"[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge Que dios nos pille confesados como le den poder a los comus para solucionar algo, no son capaces ni de solucionar los desmadres que tienen alli dentro como para solucionar los que tiene el pais."
167,AL20240910152500-223782,AL20240910152500,Yomeamoamimismo,Fa 18 dies,,El tiempo que llevan..no le han prestado la atencion suficiente..y esto a llegado a donde a llegado..con prostitución..y contrabandistas..? Que esperaban ..con esos precios... prostitución para poder pagarlos...y el contrabando...? Que les voy a decir...que ustedes no sepan..? Querian gente de dinero...pues esa gente ...va con esto ...a sus espaldas...desde la subida tan enorme de los pisos...y todo lo demas .. ahí tienen..los efectos colaterales...no les bastaba con gente trabajadora..y que no quería tanto vicio...!! No !!..tenian que ir al robo...los youtubers..los futbolistas...y las nuevas generaciones de vagos con dinero..que quieren seguir ganando dinero sin esfuerzo...y sin falta de sus vicios caros...eso es el resultado de sus...( Malas acciones ) Ahora haber como arraglan este ( cacao,,6.0,1.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge El tiempo que llevan..no le han prestado la atencion suficiente..y esto a llegado a donde a llegado..con prostitución..y contrabandistas..? Que esperaban ..con esos precios... prostitución para poder pagarlos...y el contrabando...? Que les voy a decir...que ustedes no sepan..? Querian gente de dinero...pues esa gente ...va con esto ...a sus espaldas...desde la subida tan enorme de los pisos...y todo lo demas .. ahí tienen..los efectos colaterales...no les bastaba con gente trabajadora..y que no quería tanto vicio...!! No !!..tenian que ir al robo...los youtubers..los futbolistas...y las nuevas generaciones de vagos con dinero..que quieren seguir ganando dinero sin esfuerzo...y sin falta de sus vicios caros...eso es el resultado de sus...( Malas acciones ) Ahora haber como arraglan este ( cacao
168,AL20240910152500-223839,AL20240910152500,...,Fa 17 dies,,qué pereza de comentario con tanto '...',,0.0,1.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge qué pereza de comentario con tanto '...'
169,AL20240910152500-223776,AL20240910152500,Sonia,Fa 18 dies,,"Ja era hora, que es posessin les piles... els darrers anys han passat de tot davant aquesta greu problemàtica.",,5.0,2.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,"[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge Ja era hora, que es posessin les piles... els darrers anys han passat de tot davant aquesta greu problemàtica."
170,AL20240910152500-223741,AL20240910152500,Solucions com ls nova torre a la rotonda de la comella? Ja ja ja,Fa 18 dies,,"Aquet d'andorra ja la té la solució autoritzan un altre TORRE a la rotonda de la comella de 14 plantes, colla de hipòcrites tots plegats, dona igual si és DA ho SOCIALISTES tot és la mateixa xusma canvià la portada però interior igual de PODRIT",,15.0,2.0,article,habitatge,Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge,"[ARTICLE TITLE] Els comuns volen un “rol preponderant i d’iniciativa” per aportar solucions en matèria d’habitatge Aquet d'andorra ja la té la solució autoritzan un altre TORRE a la rotonda de la comella de 14 plantes, colla de hipòcrites tots plegats, dona igual si és DA ho SOCIALISTES tot és la mateixa xusma canvià la portada però interior igual de PODRIT"
171,AL20240908101900-223483,AL20240908101900,Incapaç amb la Punjavi,Fa 20 dies,,I demana accions concretes Vivir para ver,,5.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge I demana accions concretes Vivir para ver
172,AL20240908101900-223442,AL20240908101900,Mufló,Fa 21 dies,,"Ja van donant per fet l'acord de la UE. O hi haurà tongo, o no se per on volen que surti el si.",,10.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Ja van donant per fet l'acord de la UE. O hi haurà tongo, o no se per on volen que surti el si."
173,AL20240908101900-223411,AL20240908101900,Paraura de sindic,Fa 21 dies,,La persona més odiada d'Andorra,,12.0,2.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge La persona més odiada d'Andorra
174,AL20240908101900-223404,AL20240908101900,Fart de tot,Fa 21 dies,,"Parauletes del nen Jesús, t'ho prometo. Polítics milionaris que no sabran mai posar-se en la pell del ciutadà. Però mestres en discursos embolicades. Ells arribant a Meritxell en cotxe fins la porta,no la gent aparcant on poden o havent de pujar amb autobusos. Qui ha dit que el feudalisme ha desaparegut en aquesta societat?",,19.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Parauletes del nen Jesús, t'ho prometo. Polítics milionaris que no sabran mai posar-se en la pell del ciutadà. Però mestres en discursos embolicades. Ells arribant a Meritxell en cotxe fins la porta,no la gent aparcant on poden o havent de pujar amb autobusos. Qui ha dit que el feudalisme ha desaparegut en aquesta societat?"
175,AL20240908101900-223390,AL20240908101900,Carles,Fa 21 dies,,"La posicio de Sindic hauria de ser ""neutral"" als Andorrans la seva perspectiva personal la cual per patrimoni interesa l'accord... No ens es necessaria. Com dirien al Consell, Gràcies senyor Sindic",,16.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge La posicio de Sindic hauria de ser ""neutral"" als Andorrans la seva perspectiva personal la cual per patrimoni interesa l'accord... No ens es necessaria. Com dirien al Consell, Gràcies senyor Sindic"
176,AL20240908101900-223382,AL20240908101900,Eric J.,Fa 21 dies,,"Espero el primer gest del Sr. Ensenyat de baixar els lloguers de tots els pisos de la seva propietat i dels seus familiars. Després espero que no especuli més amb els terrenys seus i de la seva família. A més, espero que doni tot el seu sou de Sindic a associacions per ajudar les famílies andorranes en dificultat. Accions concretes Sr. Síndic, accions concretes.",,52.0,0.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Espero el primer gest del Sr. Ensenyat de baixar els lloguers de tots els pisos de la seva propietat i dels seus familiars. Després espero que no especuli més amb els terrenys seus i de la seva família. A més, espero que doni tot el seu sou de Sindic a associacions per ajudar les famílies andorranes en dificultat. Accions concretes Sr. Síndic, accions concretes."
177,AL20240908101900-223424,AL20240908101900,Habitatges everywhere,Fa 21 dies,,"Segur que continua vivint bé. La qüestió és que al Consell només hi ha empresaris i funcionaris, integrants d'una classe social que no s'han de preocupar pel seu nivell de vida. Al Consell manquen treballadors que sàpiguin que és viure amb el SMI.",,17.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Segur que continua vivint bé. La qüestió és que al Consell només hi ha empresaris i funcionaris, integrants d'una classe social que no s'han de preocupar pel seu nivell de vida. Al Consell manquen treballadors que sàpiguin que és viure amb el SMI."
178,AL20240908101900-223394,AL20240908101900,Eric J.,Fa 21 dies,,"No m'importa si han gestionat malament i han perdut part de la seva fortuna. Segueix tenint molt més que la majoria dels andorrans junts i hauria de ser dels primers a fer esforços i mostrar aquestes accions concretes que ell demana. No tenen cap excusa, cap ni una.",,26.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge No m'importa si han gestionat malament i han perdut part de la seva fortuna. Segueix tenint molt més que la majoria dels andorrans junts i hauria de ser dels primers a fer esforços i mostrar aquestes accions concretes que ell demana. No tenen cap excusa, cap ni una."
179,AL20240908101900-223389,AL20240908101900,Eric crec que estàs una mica peix,Fa 21 dies,,"Tu vols que te doni i rebaixi molta cosa però crec que no estàs molt al corrent de com estant les finances familiars, llegeix la  hemeroteca de la premsa dels veins i crec que te quedaras amb um pam de nas quan vegis de quans milions de pèrdues van els negocis d'aquesta gent",,5.0,19.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Tu vols que te doni i rebaixi molta cosa però crec que no estàs molt al corrent de com estant les finances familiars, llegeix la  hemeroteca de la premsa dels veins i crec que te quedaras amb um pam de nas quan vegis de quans milions de pèrdues van els negocis d'aquesta gent"
180,AL20240908101900-223381,AL20240908101900,"Parole, parole, parole.",Fa 21 dies,,"El síndic és com aquella persona que no ha vist mai, ni en postal, el mar. No en sap res aquella persona,  igual com el síndic, una primeríssima fortuna del país, no pot saber, sentir ni entendre res sobre llogar un pis i pagar el lloguer.",,39.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge El síndic és com aquella persona que no ha vist mai, ni en postal, el mar. No en sap res aquella persona,  igual com el síndic, una primeríssima fortuna del país, no pot saber, sentir ni entendre res sobre llogar un pis i pagar el lloguer."
181,AL20240908101900-223380,AL20240908101900,Vergonyós,Fa 21 dies,,"El que és una veritable vergonya és que els famosos polítics arribin en cotxe a Meritxell i com que són molt superiors als comuns dels mortals, puguin estacionar allà dalt mateix i que la resta haguem de fer artilegis per trobar una plaça a la carretera i agafar el bus, pels que volen, o pujar a peus, fins a Meritxell. Senyors, sou els que hauríeu de donar exemple. Una vergonya. Ho havia de dir.",,26.0,0.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge El que és una veritable vergonya és que els famosos polítics arribin en cotxe a Meritxell i com que són molt superiors als comuns dels mortals, puguin estacionar allà dalt mateix i que la resta haguem de fer artilegis per trobar una plaça a la carretera i agafar el bus, pels que volen, o pujar a peus, fins a Meritxell. Senyors, sou els que hauríeu de donar exemple. Una vergonya. Ho havia de dir."
182,AL20240908101900-223372,AL20240908101900,Quimet,Fa 21 dies,,"Mentre fa una promoció a 6.000 m2. Bravo Carles, coherència al màxim.",,35.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Mentre fa una promoció a 6.000 m2. Bravo Carles, coherència al màxim."
183,AL20240908101900-223368,AL20240908101900,Pi,Fa 21 dies,,"Demana, demana ...",,13.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Demana, demana ..."
184,AL20240908101900-223360,AL20240908101900,Pep,Fa 21 dies,,Fent un discurs populista que no se'l creu ni ell! Continua així medalletes!,,27.0,1.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Fent un discurs populista que no se'l creu ni ell! Continua així medalletes!
185,AL20240908101900-223350,AL20240908101900,Enric,Fa 21 dies,,"De moment el que esteu fent DA és que gent nascuda a Andorra o resident de fa una pila d'anys s'estigui començant a plantejar si val la pena continuar vivint a Andorra, especialment la gent de +55 anys que no té cap propietat perquè no ha pogut. Una pena no poder viure al teu país.",,44.0,0.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge De moment el que esteu fent DA és que gent nascuda a Andorra o resident de fa una pila d'anys s'estigui començant a plantejar si val la pena continuar vivint a Andorra, especialment la gent de +55 anys que no té cap propietat perquè no ha pogut. Una pena no poder viure al teu país."
186,AL20240908101900-223345,AL20240908101900,UN ANY MES SENTIR ELS SEUS DISCURSOS QUE SOLS SON VALITS PER ELS SEUS LLEPONS I TENTACLES,Fa 21 dies,,"Tots son lo mateix, no ni ha cap que valgui un duro, ells cada dia mes llustrosos i el poble cada dia mes empobrit, tota aquesta xusma es la que s’ha carregat la classe mitja per acabar se’n ells mes milionaris del que ja eren (Bueno, aquet segons la premsa dels veïns han quedat bastant arruïnats, clar que ja voldria jo la seva ruïna) si els i falla una cosa sempre tenen el mugró de l’altre mamella",,45.0,2.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Tots son lo mateix, no ni ha cap que valgui un duro, ells cada dia mes llustrosos i el poble cada dia mes empobrit, tota aquesta xusma es la que s’ha carregat la classe mitja per acabar se’n ells mes milionaris del que ja eren (Bueno, aquet segons la premsa dels veïns han quedat bastant arruïnats, clar que ja voldria jo la seva ruïna) si els i falla una cosa sempre tenen el mugró de l’altre mamella"
187,AL20240908101900-223343,AL20240908101900,Així de simple,Fa 21 dies,,"Pisos socials, i turístics fooooora!.",,17.0,3.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,"[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge Pisos socials, i turístics fooooora!."
188,AL20240908101900-223342,AL20240908101900,Narcís,Fa 21 dies,,per aixô vostè s'ha venut mig Encamp per fer pisos a preu asequibles no ?,,55.0,3.0,article,habitatge,El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge,[ARTICLE TITLE] El síndic demana “accions concretes i resultats tangibles” per afrontar la crisi de l’habitatge per aixô vostè s'ha venut mig Encamp per fer pisos a preu asequibles no ?
189,AL20240905174600-223040,AL20240905174600,Kiko,Fa 24 dies,,El Lluis es un gran arquitecte i una gran persona. No podien haver triat millor!,,1.0,12.0,article,habitatge,Designacions ‘exprés’ a l’Institut de l’Habitatge per evitar un bloqueig,[ARTICLE TITLE] Designacions ‘exprés’ a l’Institut de l’Habitatge per evitar un bloqueig El Lluis es un gran arquitecte i una gran persona. No podien haver triat millor!
190,AL20240903220000-222862,AL20240903220000,Juan,Fa 25 dies,,Arquitecte en exercici? I institut de l’habitatge ? S’ensuma endoll de manual.,,36.0,9.0,article,habitatge,Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge,[ARTICLE TITLE] Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge Arquitecte en exercici? I institut de l’habitatge ? S’ensuma endoll de manual.
191,AL20240903220000-222857,AL20240903220000,carles,Fa 25 dies,,Quin desastre Deu meu... ho dic pel parc de l'ossa... 2 anys treballant i encara no està acabat i ja té l'estructura apuntalada perque no caigui,,51.0,9.0,article,habitatge,Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge,[ARTICLE TITLE] Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge Quin desastre Deu meu... ho dic pel parc de l'ossa... 2 anys treballant i encara no està acabat i ja té l'estructura apuntalada perque no caigui
192,AL20240903220000-222844,AL20240903220000,..,Fa 25 dies,,Quin desastre deu meu...ho dic sobre tot per St. Vinceç d'Enclar...,,56.0,12.0,article,habitatge,Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge,[ARTICLE TITLE] Un dels ‘arquitectes de moda’ del país representarà els comuns a l’Institut Nacional de l’Habitatge Quin desastre deu meu...ho dic sobre tot per St. Vinceç d'Enclar...
193,AL20240920090100-225454,AL20240920090100,Paloparatodos,Fa 8 dies,,Ahora como está todo patas arriba..los propietarios siguen haciendo lo que les da la gana..y mas ahora que todo el mundo opina y nadie hace nada...quiero que se construyan tantos pisos que sea imposible alquilarlos...y los dueños de los coman con patatas...y no podrán ni venderlos mas que a precios irrisorios y los vacios se los quede el gobierno... así será en un futuro...!! gracias Señor por existir!!,,0.0,1.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari Ahora como está todo patas arriba..los propietarios siguen haciendo lo que les da la gana..y mas ahora que todo el mundo opina y nadie hace nada...quiero que se construyan tantos pisos que sea imposible alquilarlos...y los dueños de los coman con patatas...y no podrán ni venderlos mas que a precios irrisorios y los vacios se los quede el gobierno... así será en un futuro...!! gracias Señor por existir!!
194,AL20240920090100-225426,AL20240920090100,Gloria,Fa 8 dies,,"En el cas de pujades irregulars del lloguer, pujades exagerades, algú podria explicar com s,ho fan per exigir aquest preu sense que l,inquilí pugui al.legar res? Tenia entès que la pujada de preu en la renovació de contracte estava regulada per llei. No acabo d,entendre com funciona o què passa si l,inquilí no marxa del pis i segueix pagant el lloguer però es nega a signar un nou contracte amb una pujada desproporcionada de preu. Es pot impugnar un contracte així que no seria legal? O sí que és legal fixar aquest augment exagerat respecte un contracte anterior? Si algú pot respondre li agraeixo per entendre-ho millor",,0.0,0.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,"[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari En el cas de pujades irregulars del lloguer, pujades exagerades, algú podria explicar com s,ho fan per exigir aquest preu sense que l,inquilí pugui al.legar res? Tenia entès que la pujada de preu en la renovació de contracte estava regulada per llei. No acabo d,entendre com funciona o què passa si l,inquilí no marxa del pis i segueix pagant el lloguer però es nega a signar un nou contracte amb una pujada desproporcionada de preu. Es pot impugnar un contracte així que no seria legal? O sí que és legal fixar aquest augment exagerat respecte un contracte anterior? Si algú pot respondre li agraeixo per entendre-ho millor"
195,AL20240920090100-225423,AL20240920090100,Todosopinan,Fa 8 dies,,O sea cada cinco años..los propietarios (joden) la vida a los inquilinos tengan familia o no...haciendoles buscar otro piso..! Que bonito ! ? Y teneis conciencia..? Hoy no sabeis ni lo que es eso...menos mal que el tiempo se encarga de ...devolveros el mal que haceis..por el cochino dinero... ! ojalá se llenen de prostíbulos!  Los pisos de los que haceis eso..,,1.0,8.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari O sea cada cinco años..los propietarios (joden) la vida a los inquilinos tengan familia o no...haciendoles buscar otro piso..! Que bonito ! ? Y teneis conciencia..? Hoy no sabeis ni lo que es eso...menos mal que el tiempo se encarga de ...devolveros el mal que haceis..por el cochino dinero... ! ojalá se llenen de prostíbulos!  Los pisos de los que haceis eso..
196,AL20240920090100-225412,AL20240920090100,Lluis Martinet,Fa 8 dies,,"Bon día El intervencionismo del Estado en la propiedad privada para solucionar problemas que no puede, no quiere o no sabe es anticonstitucional y supone una afrenta al Estado de Derecho.     Por qué no interviene en el suelo urbanizable para construir viviendas sociales???     Porque paga precios más altos por 4 hoteles de los que estaban publicitados sólo para mostrar que se ha hecho algo???    Por qué se construye con destrozo del medio ambiente urbanizaciones de lujo a precios desorbitados para enriquecimiento de unos pocos y perjuicios para muchos???    Porque no se estipula en las nuevas construcciones un porcentaje para viviendas sociales???    El salto de aquella Andorra de la que ""casi"" todo valía a la Andorra de solo para unos pocos, en tan poco espacio de tiempo refleja improvisación y falta de pericia para crear un modelo donde se incluya a todos con una calidad de vida acorde a los tiempos.",,7.0,1.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,"[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari Bon día El intervencionismo del Estado en la propiedad privada para solucionar problemas que no puede, no quiere o no sabe es anticonstitucional y supone una afrenta al Estado de Derecho.     Por qué no interviene en el suelo urbanizable para construir viviendas sociales???     Porque paga precios más altos por 4 hoteles de los que estaban publicitados sólo para mostrar que se ha hecho algo???    Por qué se construye con destrozo del medio ambiente urbanizaciones de lujo a precios desorbitados para enriquecimiento de unos pocos y perjuicios para muchos???    Porque no se estipula en las nuevas construcciones un porcentaje para viviendas sociales???    El salto de aquella Andorra de la que ""casi"" todo valía a la Andorra de solo para unos pocos, en tan poco espacio de tiempo refleja improvisación y falta de pericia para crear un modelo donde se incluya a todos con una calidad de vida acorde a los tiempos."
197,AL20240920090100-225340,AL20240920090100,Coordinadora,Fa 9 dies,,"Per resumir:   Segons les dades de Govern n'hi han 45.000 habitatges al país:   70 per cent estan en règim de lloguer, es a dir, uns 28.000 contractes d'arrendament en tot el país ... I la coordinadora fot el crit al cel per 50 casos...   Bon cap de setmana!",,17.0,7.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,"[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari Per resumir:   Segons les dades de Govern n'hi han 45.000 habitatges al país:   70 per cent estan en règim de lloguer, es a dir, uns 28.000 contractes d'arrendament en tot el país ... I la coordinadora fot el crit al cel per 50 casos...   Bon cap de setmana!"
198,AL20240920090100-225338,AL20240920090100,Mark,Fa 9 dies,,"Als propietaris de pisos vells ja no ens surt a compte tenir-los llogats. Les despeses igualen o superen el que s'ingressa (en molts casos 300 o 400 euros), canvi d'ascensor, manteniment de calderes amb reglaments que canvien cada any, assegurances que pujen un 20% anual, impostos, termos, manteniment, neteja d'escala..... A la que acabin les prorrogues (que algun dia acabaran perquè la justicia els tombarà) els pisos aniran a les meves filles, a la mare i algun cosí. No els llogaré més!!",,24.0,4.0,article,habitatge,La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari,"[ARTICLE TITLE] La ‘trampa del fill’ o increments de lloguer abusius són les ‘armes’ de l’assetjament immobiliari Als propietaris de pisos vells ja no ens surt a compte tenir-los llogats. Les despeses igualen o superen el que s'ingressa (en molts casos 300 o 400 euros), canvi d'ascensor, manteniment de calderes amb reglaments que canvien cada any, assegurances que pujen un 20% anual, impostos, termos, manteniment, neteja d'escala..... A la que acabin les prorrogues (que algun dia acabaran perquè la justicia els tombarà) els pisos aniran a les meves filles, a la mare i algun cosí. No els llogaré més!!"
